id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
54,short,3337.99,2025-08-21 14:50:00+00:00,1755787800,3331.22,2025-08-22 14:30:00+00:00,1755873000,Signal,3338.28,"[np.float64(3291.46), np.float64(3235.44), None, None, None]",95.02,643.29,0.2,17133.53,[],0.64
55,long,3331.22,2025-08-22 14:30:00+00:00,1755873000,3371.14,2025-08-22 21:30:00+00:00,1755898200,Weekend Close,3361.62,"[np.float64(3378.82), np.float64(3436.11), None, None, None]",92.94,4059.89,1.31,21193.42,[1],4.06
56,short,3381.62,2025-08-27 10:40:00+00:00,1756291200,3380.62,2025-08-27 13:20:00+00:00,1756300800,SL,3380.47,"[np.float64(3363.77), np.float64(3342.17), None, None, None]",240.06,241.25,0.03,21434.67,[],0.24
57,long,3391.41,2025-08-28 07:00:00+00:00,1756364400,3390.57,2025-08-28 07:10:00+00:00,1756365000,Signal,3386.29,"[np.float64(3413.64), np.float64(3440.5), None, None, None]",195.17,-163.94,-0.02,21270.72,[],-0.16
58,short,3390.57,2025-08-28 07:10:00+00:00,1756365000,3391.88,2025-08-28 07:20:00+00:00,1756365600,Signal,3394.81,"[np.float64(3372.3), np.float64(3350.2), None, None, None]",235.71,-308.78,-0.04,20961.94,[],-0.31
59,long,3391.88,2025-08-28 07:20:00+00:00,1756365600,3390.1,2025-08-28 07:25:00+00:00,1756365900,Signal,3385.91,"[np.float64(3417.92), np.float64(3449.36), None, None, None]",167.48,-298.11,-0.05,20663.83,[],-0.3
60,short,3390.1,2025-08-28 07:25:00+00:00,1756365900,3391.28,2025-08-28 07:30:00+00:00,1756366200,Signal,3395.2,"[np.float64(3367.95), np.float64(3341.2), None, None, None]",195.91,-231.17,-0.03,20432.66,[],-0.23
61,long,3391.28,2025-08-28 07:30:00+00:00,1756366200,3399.81,2025-08-28 13:45:00+00:00,1756388700,SL,3399.96,"[np.float64(3415.21), np.float64(3444.1), None, None, None]",181.8,1550.58,0.25,21983.23,[],1.55
62,long,3412.35,2025-08-29 08:55:00+00:00,1756457700,3449.99,2025-08-29 21:30:00+00:00,1756503000,Weekend Close,3440.31,"[np.float64(3449.73), np.float64(3494.76), None, None, None]",117.8,4409.64,1.1,26392.87,[1],4.41
63,long,3471.13,2025-09-01 11:25:00+00:00,1756725900,3494.72,2025-09-02 02:50:00+00:00,1756781400,SL,3494.87,"[np.float64(3509.2), np.float64(3555.07), None, None, None]",115.68,2728.81,0.68,29121.68,[],2.73
64,long,3536.39,2025-09-03 07:30:00+00:00,1756884600,3535.33,2025-09-03 10:50:00+00:00,1756896600,Signal,3524.26,"[np.float64(3590.15), np.float64(3654.83), None, None, None]",82.45,-87.4,-0.03,29034.29,[],-0.09
65,short,3535.33,2025-09-03 10:50:00+00:00,1756896600,3542.12,2025-09-03 12:00:00+00:00,1756900800,SL,3541.97,"[np.float64(3506.29), np.float64(3471.25), None, None, None]",150.66,-1022.62,-0.19,28011.66,[],-1.02
66,short,3534.15,2025-09-04 07:20:00+00:00,1756970400,3540.62,2025-09-04 07:30:00+00:00,1756971000,SL,3540.47,"[np.float64(3506.55), np.float64(3473.25), None, None, None]",158.31,-1023.73,-0.18,26987.93,[],-1.02
