timestamp,open,high,low,close,volume
1788984300000,4396.835,4397.325,4396.318,4396.768,0.0539
1788984600000,4396.843,4398.175,4396.609,4397.016,0.0402
1788984900000,4397.018,4397.215,4394.078,4394.438,0.0571
1788985200000,4394.385,4394.775,4393.255,4394.695,0.0661
1788985500000,4394.825,4395.795,4393.598,4394.545,0.0466
1788985800000,4394.545,4397.345,4394.525,4397.095,0.0581
1788986100000,4397.095,4400.928,4396.918,4399.425,0.0516
1788986400000,4399.415,4400.235,4398.645,4400.085,0.0634
1788986700000,4399.945,4400.955,4399.148,4399.955,0.0491
1788987000000,4399.955,4400.405,4399.285,4400.195,0.047
1788987300000,4400.195,4402.595,4399.508,4400.848,0.0752
1788991200000,4402.365,4406.185,4402.365,4404.978,0.0806
1788991500000,4404.978,4405.283,4403.108,4404.348,0.0954
1788991800000,4404.348,4405.803,4402.328,4402.725,0.0756
1788992100000,4402.725,4404.225,4402.013,4403.055,0.0577
1788992400000,4403.275,4403.275,4400.985,4401.528,0.0613
1788992700000,4401.478,4402.835,4400.248,4402.225,0.0672
1788993000000,4402.335,4403.825,4401.305,4402.465,0.1034
1788993300000,4402.465,4403.135,4399.653,4400.295,0.0811
1788993600000,4400.295,4402.395,4399.733,4401.265,0.1046
1788993900000,4401.265,4401.535,4397.508,4400.145,0.1196
1788994200000,4400.015,4400.365,4398.428,4398.438,0.0633
1788994500000,4398.538,4400.898,4397.528,4399.308,0.0964
1788994800000,4399.325,4402.885,4399.208,4402.488,0.1401
1788995100000,4402.493,4402.528,4398.288,4399.648,0.1512
1788995400000,4399.675,4402.345,4399.455,4400.388,0.1012
1788995700000,4400.265,4402.225,4397.775,4399.848,0.1257
1788996000000,4399.853,4401.185,4396.798,4397.178,0.0935
1788996300000,4397.168,4399.555,4395.493,4397.305,0.1578
1788996600000,4397.225,4399.005,4393.568,4393.885,0.1638
1788996900000,4394.025,4394.645,4393.178,4393.763,0.093
1788997200000,4393.855,4394.215,4393.068,4394.135,0.074
1788997500000,4394.108,4395.038,4393.208,4393.945,0.223
1788997800000,4393.965,4394.845,4393.215,4394.088,0.157
1788998100000,4394.083,4394.645,4392.915,4393.675,0.1199
1788998400000,4393.955,4393.955,4389.398,4391.855,0.2739
1788998700000,4391.858,4394.235,4389.877,4393.495,0.2102
1788999000000,4393.505,4396.935,4392.794,4394.716,0.2792
1788999300000,4394.716,4398.265,4394.228,4396.374,0.2401
1788999600000,4396.344,4397.755,4395.145,4395.695,0.2324
1788999900000,4395.688,4397.163,4391.998,4392.572,0.2836
1789000200000,4392.593,4394.835,4391.185,4394.365,0.2319
1789000500000,4394.383,4398.415,4394.348,4398.115,0.2259
1789000800000,4398.135,4401.375,4396.245,4400.695,0.226
1789001100000,4400.705,4400.885,4397.656,4399.825,0.2471
1789001400000,4399.825,4404.57,4397.748,4402.328,0.2484
1789001700000,4402.502,4403.445,4400.568,4400.828,0.262
1789002000000,4400.775,4412.903,4400.018,4409.245,0.4257
1789002300000,4409.245,4418.535,4407.215,4417.685,0.3863
1789002600000,4417.625,4418.855,4411.615,4412.534,0.3015
1789002900000,4412.498,4416.225,4411.238,4414.995,0.3558
1789003200000,4415.022,4415.105,4410.295,4412.203,0.3749
1789003500000,4412.183,4416.538,4410.088,4410.225,0.3137
1789003800000,4410.255,4410.765,4405.115,4407.815,0.3581
1789004100000,4407.855,4410.375,4406.045,4406.985,0.5331
1789004400000,4406.955,4410.275,4406.945,4409.875,0.3788
1789004700000,4409.875,4414.255,4408.698,4412.883,0.3556
1789005000000,4412.873,4414.275,4408.122,4408.584,0.3471
1789005300000,4408.567,4413.025,4407.795,4412.015,0.3469
1789005600000,4412.015,4417.875,4411.498,4414.955,0.3662
1789005900000,4414.955,4418.622,4414.168,4416.285,0.2939
1789006200000,4416.318,4416.955,4411.835,4413.795,0.2845
1789006500000,4413.798,4414.418,4407.825,4409.415,0.2257
1789006800000,4409.515,4413.635,4408.575,4412.605,0.2054
1789007100000,4412.601,4417.565,4412.008,4416.805,0.1946
1789007400000,4416.785,4417.415,4410.888,4415.713,0.2902
1789007700000,4415.817,4420.125,4414.215,4418.138,0.2595
1789008000000,4418.435,4420.685,4417.195,4417.888,0.2485
1789008300000,4417.878,4419.125,4416.568,4417.715,0.2755
1789008600000,4417.735,4420.588,4415.915,4420.388,0.242
1789008900000,4420.388,4420.388,4417.167,4419.175,0.2144
1789009200000,4419.167,4420.945,4415.225,4417.295,0.3268
1789009500000,4417.175,4417.195,4411.388,4413.125,0.3995
1789009800000,4413.066,4416.585,4412.033,4412.343,0.2782
1789010100000,4412.373,4414.625,4411.968,4414.065,0.2306
1789010400000,4414.045,4414.705,4411.258,4412.065,0.2147
1789010700000,4412.135,4412.408,4409.075,4409.888,0.2798
1789011000000,4409.905,4412.338,4409.418,4411.065,0.1798
1789011300000,4411.065,4411.175,4407.818,4408.475,0.1474
1789011600000,4408.418,4408.555,4406.959,4407.625,0.1482
1789011900000,4407.605,4409.755,4407.605,4408.805,0.1935
1789012200000,4408.728,4408.728,4406.668,4407.785,0.1306
1789012500000,4407.785,4409.295,4407.545,4408.895,0.1109
1789012800000,4408.835,4412.738,4408.825,4412.735,0.1544
1789013100000,4412.735,4413.945,4412.178,4412.905,0.1468
1789013400000,4412.807,4415.335,4412.665,4413.885,0.1142
1789013700000,4413.885,4414.977,4413.54,4414.438,0.1056
1789014000000,4414.385,4415.355,4413.28,4413.623,0.1115
1789014300000,4413.661,4414.545,4410.485,4411.458,0.136
1789014600000,4411.559,4413.598,4410.465,4410.828,0.1523
1789014900000,4410.727,4411.138,4407.505,4407.918,0.1699
1789015200000,4407.978,4408.608,4405.435,4406.528,0.2116
1789015500000,4406.498,4409.368,4406.125,4409.308,0.2011
1789015800000,4409.255,4411.598,4406.995,4407.048,0.202
1789016100000,4407.008,4408.638,4406.485,4408.205,0.1737
1789016400000,4408.213,4411.618,4407.978,4409.178,0.2466
1789016700000,4409.188,4414.785,4408.608,4414.335,0.22
1789017000000,4414.405,4418.648,4414.333,4418.628,0.2296
1789017300000,4418.685,4419.855,4416.755,4418.255,0.2367
1789017600000,4418.294,4419.768,4417.848,4418.638,0.1876
1789017900000,4418.895,4420.535,4416.913,4420.435,0.1705
1789018200000,4420.555,4427.455,4417.278,4425.478,0.342
1789018500000,4425.675,4427.555,4421.616,4422.945,0.2676
1789018800000,4423.005,4429.325,4422.426,4428.023,0.2262
1789019100000,4427.895,4430.155,4425.605,4425.613,0.2584
1789019400000,4425.623,4427.845,4423.468,4426.835,0.2557
1789019700000,4426.808,4431.135,4425.475,4430.825,0.2196
1789020000000,4430.748,4435.108,4426.585,4426.585,0.2289
1789020300000,4426.598,4427.325,4422.385,4422.385,0.1907
1789020600000,4422.385,4422.958,4415.815,4416.155,0.1954
1789020900000,4416.155,4416.265,4412.865,4414.615,0.2297
1789021200000,4414.625,4416.145,4410.695,4415.935,0.3147
1789021500000,4415.935,4417.515,4413.095,4417.375,0.2166
1789021800000,4417.385,4418.915,4414.518,4415.155,0.1976
1789022100000,4415.145,4418.615,4412.995,4418.425,0.1936
1789022400000,4418.425,4426.815,4418.425,4426.578,0.2022
1789022700000,4426.685,4428.665,4423.985,4424.575,0.1446
1789023000000,4424.575,4428.465,4423.495,4424.808,0.2928
1789023300000,4424.818,4425.375,4423.408,4424.968,0.1959
1789023600000,4424.968,4425.185,4414.636,4414.905,0.2184
1789023900000,4415.115,4416.265,4413.918,4414.795,0.1852
1789024200000,4414.795,4417.095,4412.895,4413.128,0.2297
1789024500000,4413.105,4414.845,4411.438,4412.338,0.1839
1789024800000,4412.268,4413.005,4410.215,4411.338,0.2001
1789025100000,4411.425,4411.635,4407.858,4408.258,0.3763
1789025400000,4408.295,4410.548,4403.985,4404.375,0.3861
1789025700000,4404.445,4407.438,4403.875,4405.895,0.2227
1789026000000,4405.878,4409.555,4404.975,4409.475,0.1647
1789026300000,4409.475,4412.575,4408.715,4411.195,0.1836
1789026600000,4411.215,4415.215,4411.085,4414.508,0.1707
1789026900000,4414.505,4414.665,4410.965,4411.575,0.1629
1789027200000,4411.561,4412.675,4407.265,4407.398,0.1914
1789027500000,4407.394,4408.838,4406.525,4408.735,0.2246
1789027800000,4408.735,4409.545,4404.585,4405.618,0.2051
1789028100000,4405.618,4406.725,4404.575,4406.038,0.1948
1789028400000,4406.038,4407.635,4405.118,4406.145,0.1618
1789028700000,4406.095,4406.165,4403.745,4405.435,0.2191
1789029000000,4405.525,4405.818,4399.705,4399.705,0.2515
1789029300000,4399.705,4401.415,4398.465,4399.575,0.2156
1789029600000,4399.575,4400.235,4394.718,4395.695,0.2458
1789029900000,4395.765,4396.395,4392.295,4392.725,0.2608
1789030200000,4392.865,4398.225,4392.605,4396.615,0.1896
1789030500000,4396.455,4396.515,4393.625,4394.665,0.1956
1789030800000,4394.565,4396.575,4393.135,4395.465,0.1973
1789031100000,4395.465,4396.505,4389.775,4391.275,0.1764
1789031400000,4391.275,4394.945,4391.275,4394.785,0.1528
1789031700000,4394.895,4396.715,4393.355,4395.555,0.1885
1789032000000,4395.508,4395.945,4391.935,4392.545,0.1618
1789032300000,4392.548,4395.405,4391.635,4392.765,0.1962
1789032600000,4392.705,4392.815,4389.455,4391.795,0.196
1789032900000,4391.825,4392.895,4390.528,4390.608,0.1724
1789033200000,4390.548,4392.915,4388.175,4392.905,0.2074
1789033500000,4392.905,4395.595,4392.435,4394.855,0.1804
1789033800000,4394.718,4395.555,4393.745,4394.715,0.1619
1789034100000,4394.585,4395.055,4393.065,4393.835,0.1715
1789034400000,4393.815,4399.115,4391.565,4398.018,0.2531
1789034700000,4397.925,4399.905,4391.725,4392.675,0.2574
1789035000000,4392.665,4397.185,4389.755,4394.995,0.2503
1789035300000,4394.985,4400.135,4394.208,4398.475,0.2317
1789035600000,4398.575,4399.108,4395.735,4395.835,0.189
1789035900000,4395.835,4397.139,4393.515,4393.905,0.2048
1789036200000,4394.005,4394.605,4383.435,4384.658,0.2787
1789036500000,4384.653,4385.375,4377.775,4385.365,0.29
1789036800000,4385.178,4386.435,4382.915,4383.585,0.2289
1789037100000,4383.585,4385.655,4379.985,4382.785,0.2492
1789037400000,4382.714,4383.435,4375.225,4377.135,0.3168
1789037700000,4377.245,4388.103,4376.825,4378.733,0.3344
1789038000000,4378.758,4384.335,4377.905,4383.625,0.3476
1789038300000,4383.635,4384.215,4378.568,4379.355,0.3496
1789038600000,4379.355,4383.635,4375.025,4383.275,0.2818
1789038900000,4383.395,4385.555,4380.725,4382.597,0.3195
1789039200000,4382.675,4383.355,4379.678,4382.518,0.2817
1789039500000,4382.555,4388.585,4382.365,4385.795,0.2764
1789039800000,4385.795,4388.465,4384.304,4386.505,0.2667
1789040100000,4386.485,4389.435,4386.065,4389.275,0.2368
1789040400000,4389.268,4390.565,4384.175,4384.235,0.2682
1789040700000,4384.265,4385.117,4380.095,4381.358,0.258
1789041000000,4381.778,4382.505,4375.631,4380.335,0.3081
1789041300000,4380.335,4380.335,4374.255,4374.255,0.3471
1789041600000,4374.365,4376.875,4370.355,4372.454,0.3878
1789041900000,4372.428,4376.355,4369.695,4372.005,0.3935
1789042200000,4372.125,4377.655,4371.815,4375.125,0.2848
1789042500000,4375.175,4376.975,4371.145,4372.825,0.0645
